Date,address,daily_trx,trx_fee,hashrate,price,Supply
2012-09-19,4160,2645,0.00343,255185696,0.0392,10583283.333331633
2012-09-20,2625,973,0.00193,276857116,0.0398,10616616.666664965
2012-09-21,2915,1303,0.00249,288913034,0.0395,10633283.333331633
2012-09-22,2607,968,0.00238,268693487,0.0402,10674949.9999983
2012-09-23,2731,1135,0.00217,310159061,0.0408,10716616.666664965
2012-09-24,3521,1081,0.00391,306463954,0.0415,10733283.333331633
2012-09-25,2836,916,0.00435,332136751,0.0413,10774949.9999983
2012-09-26,2754,1088,0.00291,345666459,0.0435,10816616.666664965
2012-09-27,2402,754,0.00207,305797929,0.0424,10833283.333331633
2012-09-28,3093,985,0.00267,315245885,0.044,10866616.666664965
2012-09-29,2539,910,0.00205,334463074,0.0455,10883283.333331633
2012-09-30,2686,955,0.00267,327176725,0.0474,10924949.9999983
2012-10-01,2721,852,0.00231,331677786,0.0477,10966616.666664965
2012-10-02,2812,1051,0.00308,343735181,0.0547,10983283.333331633
2012-10-03,2764,988,0.00888,358505438,0.053,11016616.666664965
2012-10-04,2459,775,0.00208,369449727,0.0579,11033283.333331633
2012-10-05,3107,1022,0.00319,399320297,0.0567,11074949.9999983
2012-10-06,2668,1186,0.0035,408925147,0.0541,11116616.666664965
2012-10-07,2865,1063,0.00372,383977031,0.055,11133283.333331633
2012-10-08,2850,1053,0.00379,376091308,0.0575,11174949.9999983
2012-10-09,3575,1541,0.00573,417201127,0.0675,11216616.666664965
2012-10-10,3243,1440,0.00493,440097528,0.0768,11233283.333331633
2012-10-11,3057,1255,0.00499,461286706,0.0834,11274949.9999983
2012-10-12,4531,1791,0.00819,563405601,0.0889,11316616.666664965
2012-10-13,3435,1406,0.00499,646066151,0.0843,11333283.333331633
2012-10-14,3913,1736,0.00648,682549812,0.0847,11374949.9999983
2012-10-15,4689,2365,0.00903,801434001,0.0898,11424949.9999983
2012-10-16,4605,2571,0.00895,659597466,0.0892,11466616.666664965
2012-10-17,3187,1345,0.00665,601740327,0.0895,11483283.333331633
2012-10-18,3936,1417,0.00688,567269681,0.0881,11516616.666664965
2012-10-19,2861,1190,0.00618,572114616,0.081,11533283.333331633
2012-10-20,2632,1017,0.00549,472679108,0.0793,11566616.666664965
2012-10-21,2784,1161,0.00675,506752579,0.0826,11583283.333331633
2012-10-22,3529,1254,0.00631,518309827,0.0823,11616616.666664965
2012-10-23,3912,1873,0.00561,622444073,0.0846,11633283.333331633
2012-10-24,3508,1321,0.00553,692952160,0.0849,11674949.9999983
2012-10-25,2904,987,0.00403,687113178,0.0792,11716616.666664965
2012-10-26,2828,1066,0.00576,561877906,0.0743,11733283.333331633
2012-10-27,2622,1029,0.00471,588560755,0.0756,11766616.666664965
2012-10-28,2331,947,0.00487,551917570,0.0772,11783283.333331633
2012-10-29,3201,1077,0.00503,545900168,0.0764,11816616.666664965
2012-10-30,2814,1128,0.00471,605084285,0.0777,11833283.333331633
2012-10-31,2782,1072,0.0049,641951369,0.079,11866616.666664965
2012-11-01,2845,1100,0.00478,676068520,0.0791,11883283.333331633
2012-11-02,2716,1042,0.00316,658063113,0.0778,11924949.9999983
2012-11-03,3553,1623,0.00467,756937508,0.0771,11966616.666664965
2012-11-04,2993,1170,0.00408,806116153,0.0747,11983283.333331633
2012-11-05,3448,1143,0.00511,793577278,0.0718,12024949.9999983
2012-11-06,2529,931,0.00321,695596397,0.074,12066616.666664965
2012-11-07,2979,1058,0.0036,632870963,0.0732,12083283.333331633
2012-11-08,2254,855,0.00419,546395193,0.0727,12116616.666664965
2012-11-09,2363,873,0.00306,539611756,0.0721,12133283.333331633
2012-11-10,2497,1032,0.00393,516931801,0.0715,12166616.666664965
2012-11-11,2593,1001,0.00422,528301379,0.07,12183283.333331633
2012-11-12,2576,994,0.00359,527228916,0.0675,12216616.666664965
2012-11-13,3195,1137,0.00311,520505014,0.067,12233283.333331633
2012-11-14,2730,1037,0.00284,601482140,0.0683,12266616.666664965
2012-11-15,3538,1096,0.0034,633935367,0.0662,12283283.333331633
2012-11-16,2988,1166,0.00385,648270098,0.0623,12324949.9999983
2012-11-17,3407,938,0.00338,531670292,0.0596,12362449.9999983
2012-11-18,2206,770,0.00254,511826441,0.0602,12374949.9999983
2012-11-19,2589,828,0.0027,520308821,0.0603,12387449.9999983
2012-11-20,2578,918,0.00263,456832340,0.0576,12416616.666664965
2012-11-21,2733,989,0.00292,464581253,0.0597,12433283.333331633
2012-11-22,2905,1243,0.00295,510849111,0.0612,12474949.9999983
2012-11-23,2599,946,0.00364,497072470,0.0605,12516616.666664965
2012-11-24,3031,1274,0.00283,515064817,0.0618,12533283.333331633
