Timestamp,Hashrate,Addresses,Supply,Trx_Fee,Trx/Day
1/29/2016,670.1196,52611,76916367.37500,37410343427461486224,16395
1/30/2016,668.8032,53598,76942560.50000,35429282168080463040,14661
1/31/2016,646.7083,54494,76968242.37500,33883769366783898846,14166
2/1/2016,679.1845,55186,76994673.62500,32539227416216587495,14199
2/2/2016,648.4793,55768,77020542.06250,29462927838445742070,14291
2/3/2016,696.9209,56445,77047840.03125,27729175477288151003,14274
2/4/2016,694.2255,57050,77074402.37500,32717501856642223868,14371
2/5/2016,698.6372,57863,77100960.96875,38974371493185273232,15249
2/6/2016,674.6478,58402,77127306.75000,240782836139497540152,31418
2/7/2016,693.3343,58925,77153991.43750,53120733907433247770,14264
2/8/2016,723.2448,59593,77180646.43750,37812427358868402303,14719
2/9/2016,699.4473,60346,77207117.53125,50166925483712683867,15517
2/10/2016,718.0474,61635,77233278.78125,58884244371348296342,17141
2/11/2016,747.5285,63947,77259756.59375,46523547266425745299,21440
2/13/2016,766.0290,65365,77286638.15625,36118585709597310658,19327
2/12/2016,720.7269,66901,77313140.18750,33065545419009687145,18109
2/14/2016,775.2691,68010,77339469.25000,27773044299706597294,16624
2/15/2016,794.6889,68996,77365694.56250,30725342958734838838,17159
2/16/2016,789.6940,69956,77392140.34375,33294520810596814615,17549
2/17/2016,770.0884,70919,77417812.37500,41019393677163280957,19990
2/18/2016,750.9481,71720,77444027.21875,29269923354896102421,16969
2/19/2016,794.8141,73097,77470682.68750,37036003294327345719,18412
2/20/2016,800.2920,73761,77497243.46875,26791644896446060433,16714
2/21/2016,808.8832,75500,77523780.03125,28140680307967496994,17119
2/22/2016,844.5991,76417,77550537.84375,32549111059549815952,18190
2/23/2016,849.5091,77363,77576707.84375,94164366247646313588,18482
2/24/2016,846.5788,78179,77603134.71875,52032071341041992175,19540
2/25/2016,855.9038,79187,77629958.46875,31612843090259588075,19503
2/26/2016,881.5024,80568,77656612.53125,50861640425641361867,21068
2/27/2016,896.6538,81372,77682812.37500,28374744694627182226,18981
2/28/2016,915.9603,82742,77709234.40625,29358720800308190806,19063
2/29/2016,885.9939,84582,77734463.93750,32944190213807785570,20358
3/1/2016,900.4969,86447,77760945.03125,33950840330552244042,21778
3/2/2016,939.1247,88628,77787589.25000,39078762637878354220,23562
3/3/2016,957.2282,90921,77813700.50000,35332731090065564580,24837
3/4/2016,982.6566,93327,77839585.81250,33963179590731944454,24287
3/5/2016,1030.3311,96435,77866168.00000,33898152810303794050,27115
3/6/2016,1036.7243,99307,77891567.68750,37692122626381833535,27661
3/7/2016,1047.5369,101184,77917553.15625,30377257627256356269,23271
3/8/2016,1060.2446,103555,77943376.28125,33347463941224012892,24104
3/9/2016,1080.6917,105944,77969119.56250,26064171432983223515,24557
3/10/2016,1124.5588,108347,77995747.06250,20346662047372321337,24814
3/11/2016,1152.2742,109835,78022049.56250,19247904795592964849,23124
3/12/2016,1215.6928,111755,78048419.71875,24293925277265427607,27887
3/13/2016,1291.2983,113690,78075670.18750,25641714776873214637,28127
3/14/2016,1246.4302,115840,78102078.15625,27788708533134811722,28528
3/15/2016,1295.5505,117680,78133301.75000,24012965397747022790,29273
3/16/2016,1322.2236,119290,78164791.90625,23872785945399801169,27596
3/17/2016,1369.4014,120974,78196816.43750,31668098021290349295,33531
3/18/2016,1354.7364,122851,78228103.62500,27432688683182590705,31821
3/19/2016,1419.6017,124108,78260182.06250,44285379641552049135,34779
3/20/2016,1450.4615,125636,78291777.21875,35728853851607730408,32447
3/21/2016,1430.1956,127167,78323160.18750,32462389073761272323,32511
3/22/2016,1466.4437,128345,78354872.06250,26139489102832785219,32890
3/23/2016,1389.2046,129689,78386166.12500,32658298331512616844,31786
3/24/2016,1505.2497,130970,78418237.21875,41409782633873791935,36947
3/25/2016,1574.3074,132066,78450127.06250,40354891825072786153,36762
3/26/2016,1620.1920,133107,78482062.37500,35056420511198042968,36646
3/27/2016,1641.9153,134131,78513693.15625,19209907756839878570,29974
3/28/2016,1608.6662,135514,78544999.71875,26382126085586843793,33613
3/29/2016,1670.8109,137297,78576437.53125,23912789886571370634,33915
3/30/2016,1712.2136,139755,78608138.00000,37377481423068797583,36767
3/31/2016,1769.0299,141814,78639526.90625,25021663298129122120,32259
4/1/2016,1789.7099,142900,78671411.59375,24237409893808492373,33320
4/2/2016,1726.9503,144015,78702492.84375,18065663950977857507,29358
4/3/2016,1825.8351,144966,78734222.53125,17936872868590196702,29588
4/4/2016,1909.2179,146172,78766175.65625,24869415920255448877,34907
4/5/2016,1918.4151,147380,78797750.50000,28606927282586795197,39173
4/6/2016,1894.4371,148499,78829013.15625,21679132762523199979,32078
4/7/2016,1812.6601,149643,78860180.50000,21412719486920403062,31893
4/8/2016,1973.1984,150453,78892094.87500,25167538266033358131,34010
4/9/2016,1959.8205,151383,78923008.46875,19998059997122386662,31923
4/10/2016,2036.3026,152608,78954790.18750,19447012947676659869,32237
4/11/2016,1971.8315,153660,78985756.75000,18656502908593236474,30327
4/12/2016,1930.8805,154885,79017139.56250,22906012147998767103,34673
4/13/2016,2027.4732,156088,79048625.65625,32967124210045439134,36051
4/14/2016,2040.3898,157073,79080026.75000,31728571600625501681,34781
4/15/2016,2122.0072,157904,79111760.18750,23378874230626669665,34959
4/16/2016,2151.0281,158682,79143291.43750,17224482778204991954,30483
4/17/2016,2099.2955,159556,79174794.56250,30208193703863485125,40203
4/18/2016,2225.2231,160474,79206654.09375,20099187823672429541,33513
4/19/2016,2224.0597,161308,79237980.65625,19104945850009693497,32622
4/20/2016,2269.7286,162317,79269812.06250,23848410608173012871,32944
4/21/2016,2289.2977,164290,79301185.96875,30380826050479267531,37181
4/22/2016,2218.8202,165351,79332762.68750,20576079560249551825,31678
4/23/2016,2314.4714,166350,79364456.28125,19513944752159940934,31845
4/24/2016,2281.4876,167428,79395951.28125,22486014517823509550,34046
4/25/2016,2398.2374,168546,79428088.31250,23862166178647239199,35430
4/26/2016,2327.7401,169724,79459376.12500,21659383479930707846,32582
4/27/2016,2343.4699,170969,79491251.12500,20450152724988817503,33847
4/28/2016,2398.0940,172060,79522933.62500,22638623847726053889,34343
